Ah	I	AH
et	Cc	ET
incommode	Ag	INCOMMODE
,	Fw	,
d'	S	DE
interrompre	Vvn	INTERROMPRE
le	Da	LE
seul	Ag	SEUL
plaisir	Nc	PLAISIR
auquel	Pr	À+LEQUEL
je	Pp	JE
sois	Vuc	ÊTRE
sensible	Ag	SENSIBLE
.	Fs	.
Je	Pp	JE
ne	Rp	NE
me	Pp	JE
suis	Vuc	ÊTRE
encore	Rg	ENCORE
regardée	Ge	REGARDER
que	Cs	QUE
deux	Nc	DEUX
heures	Nc	HEURE|HURE
,	Fw	,
et	Cc	ET
j'	Pp	JE
ai	Vuc	AVOIR
trouvé	Ge	TROUVER
une	Dn	UN
manière	Nc	MANIÈRE
de	S	DE
sourire	Vvn	SOURIRE
toute	Di	TOUT
nouvelle	Ag	NOUVEAU
,	Fw	,
dont	Pr	DONT
je	Pp	JE
ne	Rp	NE
m'	Pp	JE
étais	Vuc	ÊTRE
pas	Rg	PAS
encore	Rg	ENCORE
avisée	Ge	AVISER
.	Fs	.
Un	Dn	UN
beau	Ag	BEAU
plaisir	Nc	PLAISIR
vraiment	Rg	VRAIMENT
,	Fw	,
de	S	DE
faire	Vvn	FAIRE
des	Dn	UN
grimaces	Nc	GRIMACE
devant	S	DEVANT
un	Dn	UN
miroir	Nc	MIROIR
!	Fs	!
Je	Pp	JE
veux	Vvc	VOULOIR
te	Pp	TU
donner	Vvn	DONNER
un	Dn	UN
mari	Nc	MARI
,	Fw	,
afin	S	AFIN
que	Cs	QUE
tu	Pp	TU
aies	Vuc	AVOIR
autre	Ag	AUTRE
chose	Nc	CHOSE
que	Pr	QUE
toi	Pp	TU
à	S	À
regarder	Vvn	REGARDER
.	Fs	.
Moi	Pp	JE
,	Fw	,
mon	Ds	MON
père	Nc	PÈRE
,	Fw	,
j'	Pp	JE
épouserais	Vvc	ÉPOUSER
un	Dn	UN
homme	Nc	HOMME
,	Fw	,
qui	Pr	QUI
deux	Nc	DEUX
jours	Nc	JOUR|JOURS
après	S	APRÈS
mon	Ds	MON
mariage	Nc	MARIAGE
ne	Rp	NE
saurait	Vvc	SAURER|SAVOIR
pas	Rg	PAS
si	Cs	SI
je	Pp	JE
suis	Vuc	ÊTRE
belle	Ag	BEAU
?	Fs	?
On	Pp	ON
a	Vuc	AVOIR
bien	Rg	BIEN
affaire	Nc	AFFAIRE|AFFAIRÉ
de	S	DE
beauté	Nc	BEAUTÉ
vraiment	Rg	VRAIMENT
dans	S	DANS
une	Dn	UN
famille	Nc	FAMILLE
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
la	Da	LE
beauté	Nc	BEAUTÉ
qui	Pr	QUI
le	Da	LE
plus	Rg	PLUS
souvent	Rg	SOUVENT
déshonore	Vvc	DÉSHONORER
une	Dn	UN
maison	Nc	MAISON
.	Fs	.
Je	Pp	JE
veux	Vvc	VOULOIR
dans	S	DANS
la	Da	LE
mienne	Ps	MIEN
de	S	DE
la	Da	LE
vertu	Nc	VERTU
,	Fw	,
et	Cc	ET
de	S	DE
la	Da	LE
noblesse	Nc	NOBLESSE
:	Fw	:
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
plus	Rg	PLUS
de	S	DE
trente	Nc	TRENTE
ans	Nc	AN
que	Pr	QUE
j'	Pp	JE
ai	Vuc	AVOIR
la	Da	LE
rage	Nc	RAGE
d'	S	DE
être	Vun	ÊTRE
noble	Ag	NOBLE
,	Fw	,
et	Cc	ET
je	Pp	JE
veux	Vvc	VOULOIR
que	Cs	QUE
ce	Pd	CE
soit	Vuc	ÊTRE
toi	Pp	TU
qui	Pr	QUI
m'	Pp	JE
anoblisse	Vvc	ANOBLIR
.	Fs	.
Ah	I	AH
ma	Ds	MON
Cousine	Nc	COUSIN
!	Fs	!
Sauvons-nous	Vvc	Sauvons-nous
,	Fw	,
sauvons-nous	Vvc	sauvons-nous
.	Fs	.
Qu'	Cs	QUE
on	Pp	ON
mette	Vvc	METTRE
les	Da	LE
chevaux	Nc	CHEVAL|CHEVAU|CHEVAUX
au	S+Da	À+LE
carrosse	Nc	CARROSSE
.	Fs	.
À	Nc	À
qui	Pr	QUI
en	Pp	EN
veut	Vvc	VOULOIR
cette	Dd	CE
folle	Ag	FOU
-là	Nc	-là
?	Fs	?
Mais	Cc	MAIS
,	Fw	,
ma	Ds	MON
Cousine	Nc	COUSIN
,	Fw	,
qui	Pr	QUI
vous	Pp	VOUS
oblige	Vvc	OBLIGER
à	S	À
un	Dn	UN
départ	Nc	DÉPART
si	Rg	SI
précipité	Ge	PRÉCIPITER
?	Fs	?
Une	Dn	UN
femme	Nc	FEMME
comme	S	COMME
moi	Pp	JE
peut-elle	Rg	peut-elle
partir	Vvn	PARTIR
trop	Rg	TROP
promptement	Rg	PROMPTEMENT
de	S	DE
Paris	Nc	PARI
,	Fw	,
quand	Cs	QUAND
Pasquin	Nc	PASQUIN
et	Cc	ET
Marforio	Nc	Marforio
y	Pp	Y
arrivent	Vvc	ARRIVER
?	Fs	?
On	Pp	ON
dit	Vvc	DIRE
qu'	Cs	QUE
ils	Pp	ILS
amènent	Vvc	AMENER
de	S	DE
Rome	Vvc	Rome
la	Da	LE
Médisance	Nc	Médisance
,	Fw	,
que	Cs	QUE
je	Pp	JE
hais	Vvc	HAÏR
beaucoup	Rg	BEAUCOUP
,	Fw	,
et	Cc	ET
la	Pp	IL
Vérité	Vvc	Vérité
,	Fw	,
que	Cs	QUE
je	Pp	JE
crains	Vvc	CRAINDRE
encore	Rg	ENCORE
davantage	Rg	DAVANTAGE
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
ma	Ds	MON
Cousine	Nc	COUSIN
,	Fw	,
savez	Vvc	SAVOIR
-vous	Nc	-vous
bien	Rg	BIEN
ce	Pd	CE
qu'	Pr	QUE
on	Pp	ON
dit	Vvc	DIRE
?	Fs	?
Ils	Pp	ILS
affichent	Vvc	AFFICHER
,	Fw	,
Cousine	Vvc	COUSINER
,	Fw	,
ils	Pp	ILS
affichent	Vvc	AFFICHER
.	Fs	.
Une	Dn	UN
femme	Nc	FEMME
affichée	Ge	AFFICHER
est	Vuc	ÊTRE
une	Dn	UN
femme	Nc	FEMME
perdue	Ge	PERDRE
.	Fs	.
Ils	Pp	ILS
disent	Vvc	DIRE
tout	Pi	TOUT
ce	Pd	CE
qu'	Pr	QUE
ils	Pp	ILS
savent	Vvc	SAVOIR
;	Fw	;
je	Pp	JE
n'	Rp	NE
aime	Vvc	AIMER
point	Rg	POINT
les	Da	LE
caquets	Nc	CAQUET
,	Fw	,
je	Pp	JE
n'	Rp	NE
aime	Vvc	AIMER
point	Rg	POINT
les	Da	LE
caquets	Nc	CAQUET
.	Fs	.
Ils	Pp	ILS
disent	Vvc	DIRE
ce	Pd	CE
qu'	Pr	QUE
ils	Pp	ILS
savent	Vvc	SAVOIR
?	Fs	?
Oh	I	OH
tant	Rg	TANT
mieux	Rg	MIEUX
;	Fw	;
je	Pp	JE
les	Pp	ILS
attends	Vvc	ATTENDRE
de	S	DE
pied	Nc	PIED
ferme	Vvc	FERMER
.	Fs	.
Ils	Pp	ILS
sauront	Vvc	SAVOIR
à	S	À
quel	Dt	QUEL
degré	Nc	DEGRÉ
je	Pp	JE
suis	Vuc	ÊTRE
sage	Ag	SAGE
,	Fw	,
ils	Pp	ILS
le	Pp	IL
publieront	Vvc	PUBLIER
partout	Rg	PARTOUT
,	Fw	,
et	Cc	ET
cela	Pd	CELA
me	Pp	JE
distinguera	Vvc	DISTINGUER
de	S	DE
la	Da	LE
multitude	Nc	MULTITUDE
.	Fs	.
Ils	Pp	ILS
disent	Vvc	DIRE
tout	Pi	TOUT
ce	Pd	CE
qu'	Pr	QUE
ils	Pp	ILS
savent	Vvc	SAVOIR
.	Fs	.
Et	Cc	ET
savent	Vvc	SAVOIR
tout	Pi	TOUT
ce	Pd	CE
qui	Pr	QUI
se	Pp	IL
fait	Vvc	FAIRE
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
le	Da	LE
pis	Nc	PIS
que	Pr	QUE
j'	Pp	JE
y	Pp	Y
trouve	Vvc	TROUVER
.	Fs	.
Ces	Dd	CE
esprits	Nc	ESPRIT|ESPRITS
pénétrants	Ag	PÉNÉTRANT
sont	Vuc	ÊTRE
dangereux	Ag	DANGEREUX
pour	S	POUR
la	Da	LE
réputation	Nc	RÉPUTATION
des	S+Da	DE+LE|DE+LES
femmes	Nc	FEMME
.	Fs	.
Mais	Cc	MAIS
en	S	EN
vérité	Nc	VÉRITÉ
,	Fw	,
Cousine	Vvc	COUSINER
,	Fw	,
j'	Pp	JE
admire	Vvc	ADMIRER
votre	Ds	VOTRE
tranquillité	Nc	TRANQUILLITÉ
.	Fs	.
Quoi	Pt	QUE|QUOI
?	Fs	?
Tant	Rg	TANT
de	S	DE
sang-froid	Nc	SANG-FROID
à	S	À
l'	Da	LE
approche	Nc	APPROCHE
de	S	DE
ces	Dd	CE
vilaines	Ag	VILAIN
gens	Nc	GENS|GENT
-là	Vvc	-là
?	Fs	?
Pour	S	POUR
moi	Pp	JE
,	Fw	,
je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
point	Rg	POINT
assez	Rg	ASSEZ
de	S	DE
hardiesse	Nc	HARDIESSE
pour	S	POUR
les	Pp	ILS
attendre	Vvn	ATTENDRE
;	Fw	;
et	Cc	ET
si	Cs	SI
toutes	Di	TOUT
les	Da	LE
femmes	Nc	FEMME
entre	S	ENTRE
deux	Nc	DEUX
réputations	Nc	RÉPUTATION
veulent	Vvc	VOULOIR
me	Pp	JE
suivre	Vvn	SUIVRE
,	Fw	,
j'	Pp	JE
aurai	Vuc	AVOIR
bonne	Ag	BON
compagnie	Nc	COMPAGNIE
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
fort	Rg	FORT
bien	Rg	BIEN
fait	Ge	FAIRE
à	S	À
vous	Pp	VOUS
.	Fs	.
Vous	Pp	VOUS
craignez	Vvc	CRAINDRE
la	Da	LE
médisance	Nc	MÉDISANCE
;	Fw	;
pour	S	POUR
moi	Pp	JE
je	Pp	JE
vous	Pp	VOUS
conseille	Vvc	CONSEILLER
d'	S	DE
aller	Vvn	ALLER
établir	Vvn	ÉTABLIR
en	S	EN
Amérique	Nc	Amérique
une	Dn	UN
Colonie	Nc	COLONIE
de	S	DE
femmes	Nc	FEMME
craintives	Ag	CRAINTIF
.	Fs	.
Votre	Ds	VOTRE
tranquillité	Nc	TRANQUILLITÉ
me	Pp	JE
ferait	Vvc	FAIRE|FERRER
soupçonner	Vvn	SOUPÇONNER
quelque	Di	QUELQUE
chose	Nc	CHOSE
.	Fs	.
En	S	EN
cas	Nc	CAS
d'	S	DE
honneur	Nc	HONNEUR
,	Fw	,
Cousine	Vvc	COUSINER
,	Fw	,
celle	Pd	CELUI
qui	Pr	QUI
craint	Vvc	CRAINDRE
le	Da	LE
moins	Nc	MOINS
est	Vuc	ÊTRE
celle	Pd	CELUI
qui	Pr	QUI
n'	Rp	NE
a	Vuc	AVOIR
rien	Pi	RIEN
à	S	À
perdre	Vvn	PERDRE
.	Fs	.
Mais	Cc	MAIS
encore	Rg	ENCORE
,	Fw	,
expliquez-nous	Vvc	expliquez-nous
les	Da	LE
raisons	Nc	RAISON
qui	Pr	QUI
vous	Pp	VOUS
obligent	Vvc	OBLIGER
à	S	À
partir	Vvn	PARTIR
si	Rg	SI
promptement	Rg	PROMPTEMENT
.	Fs	.
Des	S+Da	DE+LE|DE+LES
raisons	Nc	RAISON
!	Fs	!
J'	Pp	JE
en	Pp	EN
ai	Vuc	AVOIR
mille	Nc	MILLE
pour	S	POUR
une	Pi	UN
.	Fs	.
Pasquin	Nc	PASQUIN
ira	Vvc	ALLER
dire	Vvn	DIRE
au	S+Da	À+LE
conseiller	Nc	CONSEILLER
ce	Pd	CE
que	Pr	QUE
le	Da	LE
banquier	Nc	BANQUIER
me	Pp	JE
donne	Vvc	DONNER
;	Fw	;
au	S+Da	À+LE
banquier	Nc	BANQUIER
ce	Pd	CE
que	Pr	QUE
je	Pp	JE
donne	Vvc	DONNER
à	S	À
mon	Ds	MON
maître	Nc	MAÎTRE
à	S	À
danser	Vvn	DANSER
;	Fw	;
au	S+Da	À+LE
maître	Nc	MAÎTRE
à	S	À
danser	Vvn	DANSER
que	Cs	QUE
je	Pp	JE
reçois	Vvc	RECEVOIR
du	S+Da	DE+LE
vin	Nc	VIN
d'	S	DE
un	Dn	UN
premier	Nc	PREMIER
commis	Ge	COMMETTRE
;	Fw	;
au	S+Da	À+LE
commis	Nc	COMMIS
que	Pr	QUE
je	Pp	JE
le	Pp	IL
bois	Vvc	BOIRE
avec	S	AVEC
le	Da	LE
Colonel	Nc	COLONEL
,	Fw	,
au	S+Da	À+LE
Colonel	Nc	COLONEL
les	Da	LE
espiègleries	Nc	ESPIÈGLERIE
de	S	DE
l'	Da	LE
académiste	Nc	académiste
.	Fs	.
Or	Cc	OR
le	Da	LE
banquier	Nc	BANQUIER
ne	Rp	NE
prêtera	Vvc	PRÊTER
plus	Rg	PLUS
d'	S	DE
argent	Nc	ARGENT
au	S+Da	À+LE
conseiller	Nc	CONSEILLER
;	Fw	;
le	Da	LE
commis	Nc	COMMIS
fera	Vvc	FAIRE|FERRER
manquer	Vvn	MANQUER
le	Da	LE
banquier	Nc	BANQUIER
;	Fw	;
l'	Da	LE
académiste	Nc	académiste
ferraillera	Vvc	FERRAILLER
avec	S	AVEC
le	Da	LE
Colonel	Nc	COLONEL
;	Fw	;
et	Cc	ET
le	Da	LE
Colonel	Nc	COLONEL
fera	Vvc	FAIRE|FERRER
sauter	Vvn	SAUTER
la	Da	LE
maître	Nc	MAÎTRE
à	S	À
danser	Vvn	DANSER
.	Fs	.
Et	Cc	ET
voilà	S	VOILÀ
une	Dn	UN
guerre	Nc	GUERRE
civile	Ag	CIVIL
dans	S	DANS
l'	Da	LE
économie	Nc	ÉCONOMIE
de	S	DE
mon	Ds	MON
ménage	Nc	MÉNAGE
.	Fs	.
Quel	Dt	QUEL
pot-pourri	Nc	POT-POURRI
de	S	DE
galanterie	Nc	GALANTERIE
!	Fs	!
Vous	Pp	VOUS
voyez	Vvc	VOIR
bien	Rg	BIEN
que	Cs	QUE
j'	Pp	JE
ai	Vuc	AVOIR
mille	Nc	MILLE
raisons	Nc	RAISON
pour	S	POUR
une	Pi	UN
.	Fs	.
J'	Pp	JE
entends	Vvc	ENTENDRE
,	Fw	,
vous	Pp	VOUS
avez	Vuc	AVOIR
autant	Rg	AUTANT
d'	S	DE
Amants	Ga	Amants
que	Cs	QUE
de	S	DE
raisons	Nc	RAISON
.	Fs	.
Vous	Pp	VOUS
ne	Rp	NE
voulez	Vvc	VOULOIR
pas	Rg	PAS
venir	Vvn	VENIR
?	Fs	?
Pour	S	POUR
moi	Pp	JE
je	Pp	JE
vous	Pp	VOUS
déclare	Vvc	DÉCLARER
que	Cs	QUE
je	Pp	JE
m'	Pp	JE
en	Pp	EN
vais	Vvc	ALLER
.	Fs	.
Qu'	Pt	QUE
entends	Vvc	ENTENDRE
-je	Nc	-je
?	Fs	?
Tout	Rg	TOUT
me	Pp	JE
paraît	Vvc	PARAÎTRE
Pasquin	Nc	PASQUIN
.	Fs	.
Fuyons	Vvc	FUIR
,	Fw	,
fuyons	Vvc	FUIR
ces	Dd	CE
vilaines	Ag	VILAIN
gens	Nc	GENS|GENT
-là	Vvc	-là
.	Fs	.
Mon	Ds	MON
équipage	Nc	ÉQUIPAGE
,	Fw	,
un	Dn	UN
fiacre	Nc	FIACRE
,	Fw	,
un	Dn	UN
fiacre	Nc	FIACRE
?	Fs	?
Elle	Pp	IL
sort	Vvc	SORTIR
.	Fs	.
Or	Cc	OR
sus	Rg	SUS
,	Fw	,
ma	Ds	MON
fille	Nc	FILLE
,	Fw	,
recommençons	Vvc	RECOMMENCER
le	Da	LE
discours	Nc	DISCOURS
que	Pr	QUE
nous	Pp	NOUS
tenions	Vvc	TENIR
.	Fs	.
Ce	Dd	CE
Gentilhomme	Nc	GENTILHOMME
me	Pp	JE
doit	Vvc	DEVOIR
venir	Vvn	VENIR
aujourd'hui	Rg	AUJOURD'HUI
,	Fw	,
et	Cc	ET
je	Pp	JE
prétends	Vvc	PRÉTENDRE
que	Cs	QUE
vous	Pp	VOUS
l'	Pp	IL
épousiez	Vvc	ÉPOUSER
.	Fs	.
Quoi	Pt	QUE|QUOI
,	Fw	,
mon	Ds	MON
Père	Nc	Père
,	Fw	,
vous	Pp	VOUS
voulez	Vvc	VOULOIR
me	Pp	JE
parler	Vvn	PARLER
encore	Rg	ENCORE
de	S	DE
mariage	Nc	MARIAGE
?	Fs	?
Si	Cs	SI
vous	Pp	VOUS
n'	Rp	NE
aviez	Vuc	AVOIR
pas	Rg	PAS
autre	Ag	AUTRE
chose	Nc	CHOSE
à	S	À
me	Pp	JE
dire	Vvn	DIRE
,	Fw	,
fallait-il	Vvc	fallait-il
me	Pp	JE
donner	Vvn	DONNER
la	Da	LE
peine	Nc	PEINE
de	S	DE
descendre	Vvn	DESCENDRE
?	Fs	?
Adieu	Nc	ADIEU
,	Fw	,
je	Pp	JE
vais	Vvc	ALLER
achever	Vvn	ACHEVER
de	S	DE
me	Pp	JE
mirer	Vvn	MIRER
.	Fs	.
Et	Cc	ET
moi	Pp	JE
j'	Pp	JE
achèverai	Vvc	ACHEVER
de	S	DE
te	Pp	TU
marier	Vvn	MARIER
.	Fs	.
Que	Cs	QUE
je	Pp	JE
suis	Vuc	ÊTRE
malheureux	Ag	MALHEUREUX
!	Fs	!
J'	Pp	JE
ai	Vuc	AVOIR
deux	Nc	DEUX
filles	Nc	FILLE
,	Fw	,
je	Pp	JE
ne	Rp	NE
saurais	Vvc	SAURER|SAVOIR
me	Pp	JE
défaire	Vvn	DÉFAIRE
de	S	DE
celle	Pd	CELUI
que	Pr	QUE
je	Pp	JE
n'	Rp	NE
aime	Vvc	AIMER
point	Rg	POINT
,	Fw	,
et	Cc	ET
l'	Da	LE
autre	Pi	AUTRE
me	Pp	JE
fait	Vvc	FAIRE
enrager	Vvn	ENRAGER
.	Fs	.
Que	Cs	QUE
diantre	I	DIANTRE
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
faites	Vvc	FAIRE
donc	Rg	DONC
taire	Vvn	TAIRE
votre	Ds	VOTRE
fille	Nc	FILLE
?	Fs	?
Elle	Pp	IL
veut	Vvc	VOULOIR
que	Cs	QUE
je	Pp	JE
la	Pp	IL
serve	Vvc	SERVIR
en	S	EN
Musique	Nc	MUSIQUE
;	Fw	;
elle	Pp	IL
me	Pp	JE
chante	Vvc	CHANTER
toujours	Rg	TOUJOURS
aux	S+Da	À+LES
oreilles	Nc	OREILLE
:	Fw	:
Il	Pp	IL
chante	Vvc	CHANTER
.	Fs	.
Pierrot	Nc	PIERROT
,	Fw	,
je	Pp	JE
veux	Vvc	VOULOIR
sortir	Vvn	SORTIR
,	Fw	,
Baille	Vvc	BÂILLER
-moi	Vvc	-moi
mon	Ds	MON
écharpe	Nc	ÉCHARPE
.	Fs	.
As	Vuc	AVOIR
-tu	Ge	-tu
décrotté	Ge	DÉCROTTER
mes	Ds	MON
souliers	Nc	SOULIER
?	Fs	?
Je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
pour	S	POUR
moi	Pp	JE
qu'	Cs	QUE
elle	Pp	IL
a	Vuc	AVOIR
le	Da	LE
démon	Nc	DÉMON
de	S	DE
l'	Pp	IL
Opéra	Vvc	Opéra
dans	S	DANS
le	Da	LE
ventre	Nc	VENTRE
.	Fs	.
Quoi	Pt	QUE|QUOI
?	Fs	?
Sa	Ds	SON
manie	Nc	MANIE
chantante	Ag	CHANTANT
ne	Rp	NE
la	Pp	IL
quitte	Vvc	QUITTER
point	Rg	POINT
?	Fs	?
Sa	Ds	SON
chanterie	Nc	CHANTERIE
l'	Pp	IL
a	Vuc	AVOIR
prise	Ge	PRENDRE|PRISER
depuis	S	DEPUIS
que	Cs	QUE
vous	Pp	VOUS
lui	Pp	IL
avez	Vuc	AVOIR
refusé	Ge	REFUSER
ce	Dd	CE
petit	Ag	PETIT
Léandre	Nc	Léandre
,	Fw	,
qui	Pr	QUI
lui	Pp	IL
venait	Vvc	VENIR
tous	Di	TOUT
les	Da	LE
jours	Nc	JOUR|JOURS
chanter	Vvn	CHANTER
mille	Nc	MILLE
faligoteries	Vvc	faligoteries
sous	S	SOUS
ses	Ds	SON
fenêtres	Nc	FENÊTRE
.	Fs	.
Et	Cc	ET
franchement	Rg	FRANCHEMENT
,	Fw	,
si	Cs	SI
vous	Pp	VOUS
la	Pp	IL
mariez	Vvc	MARIER|MARRER
,	Fw	,
cela	Pd	CELA
la	Pp	IL
ferait	Vvc	FAIRE|FERRER
bien	Rg	BIEN
déchanter	Vvn	DÉCHANTER
;	Fw	;
car	Cc	CAR
ce	Pd	CE
qui	Pr	QUI
cause	Vvc	CAUSER
la	Da	LE
chanterie	Nc	CHANTERIE
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
lorsque	Cs	LORSQUE
la	Da	LE
joie	Nc	JOIE
surmonte	Vvc	SURMONTER
:	Fw	:
or	Cc	OR
la	Da	LE
surmontation	Nc	surmontation
ne	Rp	NE
vient	Vvc	VENIR
que	Rg	QUE
quand	Cs	QUAND
on	Pp	ON
a	Vuc	AVOIR
envie	Nc	ENVIE
de	S	DE
rire	Vvn	RIRE
:	Fw	:
si	Cs	SI
bien	Rg	BIEN
qu'	Cs	QUE
un	Dn	UN
mari	Nc	MARI
qui	Pr	QUI
est	Vuc	ÊTRE
un	Dn	UN
animal	Nc	ANIMAL
triste	Ag	TRISTE
,	Fw	,
empêche	Vvc	EMPÊCHER
toujours	Rg	TOUJOURS
sa	Ds	SON
femme	Nc	FEMME
de	S	DE
rire	Vvn	RIRE
;	Fw	;
et	Cc	ET
voilà	I	VOILÀ
ce	Pd	CE
qui	Pr	QUI
suffoque	Vvc	SUFFOQUER
la	Da	LE
démangeaison	Nc	DÉMANGEAISON
de	S	DE
chanter	Vvn	CHANTER
.	Fs	.
Je	Pp	JE
l'	Pp	IL
aime	Vvc	AIMER
trop	Rg	TROP
pour	S	POUR
la	Pp	IL
donner	Vvn	DONNER
à	S	À
un	Dn	UN
mari	Nc	MARI
.	Fs	.
Parce	Vvc	Parce
que	Cs	QUE
vous	Pp	VOUS
l'	Pp	IL
aimez	Vvc	AIMER
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
voulez	Vvc	VOULOIR
pas	Rg	PAS
la	Da	LE
marier	Vvn	MARIER
?	Fs	?
Elle	Pp	IL
aimerait	Vvc	AIMER
bien	Rg	BIEN
mieux	Rg	MIEUX
que	Cs	QUE
vous	Pp	VOUS
la	Pp	IL
haïssiez	Vvc	HAÏR
,	Fw	,
la	Da	LE
pauvre	Ag	PAUVRE
fille	Nc	FILLE
.	Fs	.
Mais	Cc	MAIS
Pierrot	Nc	PIERROT
,	Fw	,
toi	Pp	TU
qui	Pr	QUI
es	Vuc	ÊTRE
son	Ds	SON
confident	Nc	CONFIDENT
,	Fw	,
tu	Pp	TU
devrais	Vvc	DEVOIR
bien	Rg	BIEN
lui	Pp	IL
remontrer	Vvn	REMONTRER
qu'	Cs	QUE
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
de	S	DE
la	Da	LE
folie	Nc	FOLIE
à	S	À
chanter	Vvn	CHANTER
toujours	Rg	TOUJOURS
.	Fs	.
J'	Pp	JE
y	Pp	Y
ai	Vuc	AVOIR
fait	Ge	FAIRE
mes	Ds	MON
cinq	Nc	CINQ
ou	Cc	OU
six	Nc	SIX
sens	Vvc	SENTIR
de	S	DE
nature	Nc	NATURE
;	Fw	;
et	Cc	ET
je	Pp	JE
l'	Pp	IL
ai	Vuc	AVOIR
avertie	Ge	AVERTIR
plusieurs	Di	PLUSIEURS
fois	Nc	FOI|FOIS
,	Fw	,
que	Cs	QUE
plus	Rg	PLUS
une	Dn	UN
fille	Nc	FILLE
chantait	Vvc	CHANTER
,	Fw	,
plus	Rg	PLUS
on	Pp	ON
croyait	Vvc	CROIRE
qu'	Cs	QUE
elle	Pp	IL
faisait	Vvc	FAIRE
pis	Nc	PIS
.	Fs	.
Savez	Vvc	SAVOIR
-vous	Nc	-vous
bien	Rg	BIEN
ce	Pd	CE
qu'	Pr	QUE
elle	Pp	IL
me	Pp	JE
répond	Vvc	RÉPONDRE
à	S	À
tout	Di	TOUT
cela	Pd	CELA
?	Fs	?
Il	Pp	IL
chante	Vvc	CHANTER
.	Fs	.
Tais	Vvc	TAIRE
-toi	Vvc	-toi
,	Fw	,
tu	Pp	TU
n'	Rp	NE
es	Vuc	ÊTRE
qu'	Rg	QUE
un	Dn	UN
sot	Nc	SOT
.	Fs	.
Dame	Nc	DAME
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
je	Pp	JE
ne	Rp	NE
suis	Vuc	ÊTRE
pas	Rg	PAS
accoutumé	Ge	ACCOUTUMER
qu'	Cs	QUE
on	Pp	ON
me	Pp	JE
dise	Vvc	DIRE
des	Dn	UN
injures	Nc	INJURE
en	S	EN
Musique	Nc	MUSIQUE
.	Fs	.
Suffit	Vvc	SUFFIRE
,	Fw	,
je	Pp	JE
tâcherai	Vvc	TÂCHER
de	S	DE
ramener	Vvn	RAMENER
celle	Pd	CELUI
-ci	Vvc	-ci
par	S	PAR
la	Da	LE
raison	Nc	RAISON
,	Fw	,
et	Cc	ET
je	Pp	JE
me	Pp	JE
servirai	Vvc	SERVIR
de	S	DE
mon	Ds	MON
autorité	Nc	AUTORITÉ
envers	S	ENVERS
l'	Da	LE
autre	Pi	AUTRE
pour	S	POUR
lui	Pp	IL
faire	Vvn	FAIRE
épouser	Vvn	ÉPOUSER
le	Da	LE
Gentilhomme	Nc	GENTILHOMME
à	S	À
qui	Pr	QUI
je	Pp	JE
l'	Pp	IL
ai	Vuc	AVOIR
promise	Ge	PROMETTRE
.	Fs	.
Il	Pp	IL
faudra	Vvc	FAILLIR|FALLOIR
bien	Rg	BIEN
qu'	Cs	QUE
elle	Pp	IL
m'	Pp	JE
obéisse	Vvc	OBÉIR
.	Fs	.
Oh	I	OH
,	Fw	,
il	Pp	IL
faudra	Vvc	FAILLIR|FALLOIR
,	Fw	,
il	Pp	IL
faudra	Vvc	FAILLIR|FALLOIR
!	Fs	!
Ça	Nc	Ça
est	Vuc	ÊTRE
bien	Rg	BIEN
aisé	Ag	AISÉ
à	S	À
dire	Vvn	DIRE
!	Fs	!
Mais	Cc	MAIS
quand	Cs	QUAND
je	Pp	JE
lui	Pp	IL
en	Pp	EN
ai	Vuc	AVOIR
parlé	Ge	PARLER
,	Fw	,
elle	Pp	IL
m'	Pp	JE
a	Vuc	AVOIR
dit	Ge	DIRE
que	Cs	QUE
vous	Pp	VOUS
n'	Rp	NE
aviez	Vuc	AVOIR
rien	Pi	RIEN
à	S	À
lui	Pp	IL
commander	Vvn	COMMANDER
.	Fs	.
Comment	Pt	COMMENT
donc	Rg	DONC
?	Fs	?
Est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
je	Pp	JE
ne	Rp	NE
suis	Vuc	ÊTRE
pas	Rg	PAS
son	Ds	SON
père	Nc	PÈRE
?	Fs	?
Faut	Vvc	FAILLIR|FALLOIR
bien	Rg	BIEN
qu'	Cs	QUE
elle	Pp	IL
répugne	Vvc	RÉPUGNER
à	S	À
cela	Pd	CELA
:	Fw	:
car	Cc	CAR
si	Cs	SI
elle	Pp	IL
y	Pp	Y
trouvait	Vvc	TROUVER
la	Da	LE
moindre	Ag	MOINDRE
apparence	Nc	APPARENCE
dans	S	DANS
son	Ds	SON
instinct	Nc	INSTINCT
,	Fw	,
elle	Pp	IL
vous	Pp	VOUS
