	idno	fievre_idno	author-name	year	subgenre	comedie	tragedie	tragicomedie	form	tc_inspiration	tc_structure	count
tc0208	tc0208	CORNEILLEP_VEUVE34	CORNEILLEP	1631	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0209	tc0209	CORNEILLET_AMOURALAMODE	CORNEILLET	1651	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0210	tc0210	CORNEILLET_ARIANE	CORNEILLET	1672	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0211	tc0211	CORNEILLET_BERENICE	CORNEILLET	1709	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0213	tc0213	CORNEILLET_BRADAMANTE	CORNEILLET	1695	tragedie	other	tragedie	other	vers	histoire française	Cinq actes	1
tc0214	tc0214	CORNEILLET_CAMMA	CORNEILLET	1661	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0215	tc0215	CORNEILLET_CHARMEDELAVOIX	CORNEILLET	1658	comedie	comedie	other	other	vers	moeurs italiennes	Cinq actes	1
tc0217	tc0217	CORNEILLET_COMTEDESSEX	CORNEILLET	1678	tragedie	other	tragedie	other	vers	histoire anglaise	Cinq actes	1
tc0218	tc0218	CORNEILLET_COMTESSEORGUEIL	CORNEILLET	1653	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0219	tc0219	CORNEILLET_DARIUS	CORNEILLET	1659	tragedie	other	tragedie	other	vers	histoire perse	Cinq actes	1
tc0220	tc0220	CORNEILLET_DOMBERTRANDECIGARRAL	CORNEILLET	1651	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0221	tc0221	CORNEILLET_DOMCESARDAVALOS	CORNEILLET	1661	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0222	tc0222	CORNEILLET_ENGAGEMENTSDUHASARD	CORNEILLET	1649	comedie	comedie	other	other	vers	histoire anglaise	Cinq actes	1
tc0223	tc0223	CORNEILLET_FEINTASTROLOGUE	CORNEILLET	1636	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0224	tc0224	CORNEILLET_FESTINPIERRE	CORNEILLET	1677	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0225	tc0225	CORNEILLET_GALANTDOUBLE	CORNEILLET	1659	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0226	tc0226	CORNEILLET_GEOLIERDESOISMEME	CORNEILLET	1695	comedie	comedie	other	other	vers	moeurs italiennes	Cinq actes	1
tc0227	tc0227	CORNEILLET_ILLUSTRESENNEMIS	CORNEILLET	1657	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0228	tc0228	CORNEILLET_INCONNU	CORNEILLET	1675	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0229	tc0229	CORNEILLET_MAXIMIAN	CORNEILLET	1662	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0231	tc0231	CORNEILLET_MORTANNIBAL	CORNEILLET	1669	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0232	tc0232	CORNEILLET_MORTDACHILLE	CORNEILLET	1673	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0233	tc0233	CORNEILLET_MORTEMPEREURCOMMODE	CORNEILLET	1657	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0234	tc0234	CORNEILLET_PERSEEDEMETRIUS	CORNEILLET	1662	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0235	tc0235	CORNEILLET_PYRRHUS	CORNEILLET	1661	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0236	tc0236	CORNEILLET_STLICON	CORNEILLET	1660	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
